Timestamp,State,Consumption,Redundant,Distance,IsOn
2025-05-06 15:51:55,PARTIAL,3,1,66,1
2025-05-06 15:51:56,PARTIAL,3,1,66,1
2025-05-06 15:51:56,PARTIAL,3,1,68,1
2025-05-06 15:51:56,PARTIAL,3,1,72,1
2025-05-06 15:51:57,PARTIAL,3,1,70,1
2025-05-06 15:51:57,IDLE,1,1,229,0
2025-05-06 15:51:57,PARTIAL,3,1,71,1
2025-05-06 15:51:58,IDLE,1,1,229,0
2025-05-06 15:51:58,PARTIAL,3,1,62,1
2025-05-06 15:51:58,PARTIAL,3,1,62,1
2025-05-06 15:51:59,PARTIAL,3,1,63,1
2025-05-06 15:51:59,PARTIAL,3,1,62,1
2025-05-06 15:51:59,PARTIAL,3,1,65,1
2025-05-06 15:52:00,PARTIAL,3,1,66,1
2025-05-06 15:52:00,PARTIAL,3,1,66,1
2025-05-06 15:52:00,PARTIAL,3,1,66,1
2025-05-06 15:52:01,PARTIAL,3,1,66,1
2025-05-06 15:52:01,PARTIAL,3,1,66,1
2025-05-06 15:52:01,PARTIAL,3,1,65,1
2025-05-06 15:52:02,PARTIAL,3,1,65,1
2025-05-06 15:52:02,PARTIAL,3,1,64,1
2025-05-06 15:52:02,PARTIAL,3,1,64,1
2025-05-06 15:52:03,PARTIAL,3,1,64,1
2025-05-06 15:52:03,PARTIAL,3,1,61,1
2025-05-06 15:52:03,PARTIAL,3,1,55,1
2025-05-06 15:52:04,PARTIAL,3,1,50,1
2025-05-06 15:52:04,PARTIAL,3,1,45,1
2025-05-06 15:52:04,PARTIAL,3,1,39,1
2025-05-06 15:52:05,TOTAL,5,1,30,1
2025-05-06 15:52:05,TOTAL,5,1,22,1
2025-05-06 15:52:05,TOTAL,5,1,20,1
2025-05-06 15:52:06,TOTAL,5,1,19,1
2025-05-06 15:52:06,TOTAL,5,1,19,1
2025-05-06 15:52:06,TOTAL,5,1,19,1
2025-05-06 15:52:07,TOTAL,5,1,19,1
2025-05-06 15:52:07,TOTAL,5,1,20,1
2025-05-06 15:52:07,TOTAL,5,1,19,1
2025-05-06 15:52:08,TOTAL,5,1,19,1
2025-05-06 15:52:08,TOTAL,5,1,20,1
2025-05-06 15:52:08,TOTAL,5,1,20,1
2025-05-06 15:52:09,TOTAL,5,1,19,1
2025-05-06 15:52:09,TOTAL,5,1,19,1
2025-05-06 15:52:09,IDLE,1,1,229,0
2025-05-06 15:52:10,IDLE,1,1,231,0
2025-05-06 15:52:10,IDLE,1,1,230,0
2025-05-06 15:52:10,IDLE,1,1,240,0
2025-05-06 15:52:11,PARTIAL,3,1,8,1
2025-05-06 15:52:11,TOTAL,5,1,8,1
2025-05-06 15:52:11,TOTAL,5,1,8,1
2025-05-06 15:52:12,TOTAL,5,1,7,1
2025-05-06 15:52:12,IDLE,1,1,0,0
2025-05-06 15:52:12,FAULT,4,1,0,0
2025-05-06 15:52:13,FAULT,4,1,0,0
2025-05-06 15:52:13,FAULT,4,1,0,0
2025-05-06 15:52:13,FAULT,4,1,0,0
2025-05-06 15:52:14,FAULT,4,1,0,0
2025-05-06 15:52:14,FAULT,4,1,0,0
2025-05-06 15:52:14,FAULT,4,1,0,0
2025-05-06 15:52:15,FAULT,4,1,0,0
2025-05-06 15:52:15,FAULT,4,1,0,0
2025-05-06 15:52:15,FAULT,4,1,0,0
2025-05-06 15:52:16,FAULT,4,1,0,0
